,Unnamed: 0,Order Date,Brand,Sneaker Name,Release Date,Shoe Size,Buyer Region,Turnover Days,Profit,Profit Ratio,Model,Black,White,Grey,Red,Green,Neo,Orange,Tan/Brown,Pink,Blue,Colorful,Turnover Weeks,color
127,128,2017-09-07,Off-White,nike-air-max-90-off-white,2017-09-09,8.0,California,-2,1440.0,9.0,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,-0.0,White
128,129,2017-09-07,Off-White,nike-air-max-90-off-white,2017-09-09,11.5,New York,-2,930.0,5.81,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,-0.0,White
129,130,2017-09-07,Off-White,nike-air-presto-off-white,2017-09-09,10.0,New York,-2,1184.0,7.4,air-presto,1.0,1.0,,,,,,,,,,-0.0,Black
130,131,2017-09-07,Off-White,nike-air-presto-off-white,2017-09-09,10.0,Massachusetts,-2,1165.0,7.28,air-presto,1.0,1.0,,,,,,,,,,-0.0,Black
131,132,2017-09-07,Off-White,nike-air-vapormax-off-white,2017-09-09,12.0,Kentucky,-2,1550.0,6.2,air-vapormax,1.0,1.0,,,,,,,,,,-0.0,Black
148,149,2017-09-08,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,13.0,New York,-1,2260.0,11.89,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,-0.0,White
149,150,2017-09-08,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,12.0,Illinois,-1,2135.0,11.24,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,-0.0,White
151,152,2017-09-08,Off-White,nike-air-presto-off-white,2017-09-09,11.0,Colorado,-1,1139.0,7.12,air-presto,1.0,1.0,,,,,,,,,,-0.0,Black
152,153,2017-09-08,Off-White,nike-air-vapormax-off-white,2017-09-09,11.5,Kentucky,-1,2149.0,8.6,air-vapormax,1.0,1.0,,,,,,,,,,-0.0,Black
170,172,2017-09-09,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.5,Massachusetts,0,2609.0,13.73,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,0.0,White
171,173,2017-09-09,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.0,Delaware,0,2360.0,12.42,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,0.0,White
172,174,2017-09-09,Off-White,nike-air-max-90-off-white,2017-09-09,11.5,New York,0,789.0,4.93,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,0.0,White
173,175,2017-09-09,Off-White,nike-air-max-90-off-white,2017-09-09,9.5,New Jersey,0,940.0,5.88,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,0.0,White
175,177,2017-09-09,Off-White,nike-air-presto-off-white,2017-09-09,10.0,New Jersey,0,1139.0,7.12,air-presto,1.0,1.0,,,,,,,,,,0.0,Black
191,194,2017-09-10,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.0,New York,1,1910.0,10.05,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,0.0,White
192,195,2017-09-10,Off-White,nike-air-max-90-off-white,2017-09-09,9.0,California,1,805.0,5.03,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,0.0,White
193,196,2017-09-10,Off-White,nike-air-max-90-off-white,2017-09-09,8.0,New York,1,780.0,4.88,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,0.0,White
194,197,2017-09-10,Off-White,nike-air-presto-off-white,2017-09-09,9.0,California,1,1169.0,7.31,air-presto,1.0,1.0,,,,,,,,,,0.0,Black
195,198,2017-09-10,Off-White,nike-air-presto-off-white,2017-09-09,9.0,New York,1,1110.0,6.94,air-presto,1.0,1.0,,,,,,,,,,0.0,Black
196,199,2017-09-10,Off-White,nike-air-presto-off-white,2017-09-09,10.0,New Jersey,1,1030.0,6.44,air-presto,1.0,1.0,,,,,,,,,,0.0,Black
197,200,2017-09-10,Off-White,nike-air-presto-off-white,2017-09-09,11.0,Florida,1,1140.0,7.12,air-presto,1.0,1.0,,,,,,,,,,0.0,Black
199,202,2017-09-10,Off-White,nike-blazer-mid-off-white,2017-09-09,13.0,Massachusetts,1,800.0,6.15,blazer-mid,,1.0,,,,,,,,,,0.0,White
200,203,2017-09-10,Off-White,nike-blazer-mid-off-white,2017-09-09,10.0,Oregon,1,604.0,4.65,blazer-mid,,1.0,,,,,,,,,,0.0,White
218,222,2017-09-11,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,12.0,South Carolina,2,1950.0,10.26,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,0.0,White
221,225,2017-09-11,Off-White,nike-air-presto-off-white,2017-09-09,13.0,New York,2,1540.0,9.62,air-presto,1.0,1.0,,,,,,,,,,0.0,Black
222,226,2017-09-11,Off-White,nike-air-presto-off-white,2017-09-09,10.0,Illinois,2,1079.0,6.74,air-presto,1.0,1.0,,,,,,,,,,0.0,Black
223,227,2017-09-11,Off-White,nike-air-presto-off-white,2017-09-09,10.0,New Jersey,2,990.0,6.19,air-presto,1.0,1.0,,,,,,,,,,0.0,Black
227,231,2017-09-11,Off-White,nike-blazer-mid-off-white,2017-09-09,12.0,California,2,640.0,4.92,blazer-mid,,1.0,,,,,,,,,,0.0,White
228,232,2017-09-11,Off-White,nike-blazer-mid-off-white,2017-09-09,9.0,Oregon,2,605.0,4.65,blazer-mid,,1.0,,,,,,,,,,0.0,White
254,259,2017-09-12,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.5,Illinois,3,1717.0,9.04,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,0.0,White
258,263,2017-09-12,Off-White,nike-air-presto-off-white,2017-09-09,10.0,Arizona,3,1040.0,6.5,air-presto,1.0,1.0,,,,,,,,,,0.0,Black
282,287,2017-09-13,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.0,Ohio,4,1910.0,10.05,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,1.0,White
283,288,2017-09-13,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.5,Ohio,4,1710.0,9.0,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,1.0,White
284,289,2017-09-13,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.5,New York,4,1810.0,9.53,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,1.0,White
285,290,2017-09-13,Off-White,nike-air-max-90-off-white,2017-09-09,9.0,California,4,730.0,4.56,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,1.0,White
286,291,2017-09-13,Off-White,nike-air-presto-off-white,2017-09-09,8.0,Wisconsin,4,890.0,5.56,air-presto,1.0,1.0,,,,,,,,,,1.0,Black
287,292,2017-09-13,Off-White,nike-air-presto-off-white,2017-09-09,8.0,Rhode Island,4,1030.0,6.44,air-presto,1.0,1.0,,,,,,,,,,1.0,Black
310,317,2017-09-14,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,10.0,Michigan,5,1510.0,7.95,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,1.0,White
311,318,2017-09-14,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,9.5,Florida,5,1920.0,10.11,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,1.0,White
312,319,2017-09-14,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,11.0,Florida,5,1860.0,9.79,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,1.0,White
313,320,2017-09-14,Off-White,nike-air-max-90-off-white,2017-09-09,10.5,Texas,5,710.0,4.44,air-max-90,,1.0,,,,,,1.0,,1.0,1.0,1.0,White
314,321,2017-09-14,Off-White,nike-air-presto-off-white,2017-09-09,10.0,Massachusetts,5,1050.0,6.56,air-presto,1.0,1.0,,,,,,,,,,1.0,Black
335,343,2017-09-15,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,9.5,Ohio,6,1910.0,10.05,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,1.0,White
336,344,2017-09-15,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,11.0,California,6,1625.0,8.55,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,1.0,White
337,345,2017-09-15,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,9.5,California,6,1910.0,10.05,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,1.0,White
338,346,2017-09-15,Off-White,air-jordan-1-retro-high-off-white-chicago,2017-09-09,13.0,California,6,1809.0,9.52,air-jordan-1-retro-high,,1.0,,1.0,,,,,,,1.0,1.0,White
340,348,2017-09-15,Off-White,nike-air-presto-off-white,2017-09-09,9.0,Massachusetts,6,1090.0,6.81,air-presto,1.0,1.0,,,,,,,,,,1.0,Black
341,349,2017-09-15,Off-White,nike-air-presto-off-white,2017-09-09,12.0,Alabama,6,950.0,5.94,air-presto,1.0,1.0,,,,,,,,,,1.0,Black
